Nom_Intersection,Longitude,Latitude,total
Rosemont / Van Horne / Saint-Denis,-73.618257,45.534696,50868
Jean-Talon / Saint-Laurent,-73.655951,45.550828,59546
Berri / Sauvé,-73.655635,45.551577,35651
Lajeunesse / Sauvé,-73.659862,45.546973,28580
Saint-Laurent / Sauvé,-73.668654,45.554479,39207
Berri / Henri-Bourassa,-73.66821,45.55522,57284
Henri-Bourassa / Lajeunesse,-73.670912,45.550336,48726
Henri-Bourassa / Saint-Laurent,-73.635358,45.549221,53012
Crémazie / Saint-Hubert inter. Nord,-73.634784,45.549023,39579
Crémazie / Saint-Hubert inter. Sud,-73.572946,45.526938,44979
Brébeuf / Rachel,-73.591306,45.540679,30095
Papineau / Rosemont,-73.642157,45.505314,14950
Côte-des-Neiges / Jean-Talon/Laird,-73.624595,45.530202,19466
Hutchison / Ogilvy,-73.57708,45.530267,6717
Lanaudière / Mont-Royal,-73.554266,45.513322,11868
Saint-Hubert / Viger,-73.584623,45.463547,71129
Angers / Église,-73.578946,45.463303,6543
Champlain / Église de l',-73.579349,45.462447,8400
Champlain / Galt,-73.593777,45.599835,8169
Bombardier / Langelier,-73.584728,45.524777,17754
Bienville / Saint-Denis,-73.591738,45.527986,10377
Boucher / Saint-Denis,-73.593885,45.528936,12293
Carmel / Saint-Denis,-73.589482,45.526951,9602
Laurier / Saint-Denis,-73.593214,45.528644,18346
Saint-Denis / Saint-Grégoire,-73.593777,45.599835,9137
Bombardier / Langelier,-73.581665,45.463426,35975
Drake / Église,-73.582232,45.457051,7838
Drake / Jolicoeur,-73.581004,45.463408,7359
Église / La Vérendrye,-73.581023,45.462526,26025
Galt / La Vérendrye,-73.596112,45.495366,23501
Côte-des-Neiges / The Boulevard,-73.586384,45.451286,38101
Allard / La Vérendrye,-73.581082,45.457008,14557
Jolicoeur / La Vérendrye,-73.596156,45.44143,22469
La Vérendrye / Parc Angrignon,-73.587708,45.479603,13615
Couvent / Saint-Antoine,-73.593891,45.443976,5220
De La Vérendrye / face pont Claude-Brunet,-73.582919,45.523963,13434
Mont-Royal / Saint-Denis,-73.581142,45.465033,16317
La Vérendrye / Sortie A15 Sud,-73.589972,45.523914,14292
Bullion / Saint-Joseph,-73.580128,45.527025,11054
Mentana / Mont-Royal,-73.68517,45.515834,9812
Décarie / Rochon,-73.687915,45.517562,6876
Décarie / Tassé,-73.542892,45.56077,4815
Hochelaga / Saint-Clément,-73.706203,45.49563,67781
Beaulac / Côte-Vertu,-73.641975,45.547605,79186
Émile-Journault / Lajeunesse,-73.638578,45.54528,12533
Crémazie / Saint-Denis inter. Sud,-73.641975,45.547605,29974
Émile-Journault / Lajeunesse,-73.638578,45.54528,11513
Crémazie / Saint-Denis inter. Sud,-73.641975,45.547605,29750
Émile-Journault / Lajeunesse,-73.638578,45.54528,12611
Crémazie / Saint-Denis inter. Sud,-73.504078,45.67214,30292
53 e Avenue / Sherbrooke,-73.497723,45.690303,9074
81 e Avenue / Sherbrooke,-73.502388,45.676987,6728
Réal-Benoit / Sherbrooke,-73.503531,45.673706,8111
Accès Gare Sherbrooke / rue Sherbrooke,-73.557071,45.517457,7975
Atateken / Sainte-Catherine,-73.558931,45.515457,21024
Sainte-Catherine / Saint-Hubert,-73.553656,45.521174,12064
Alexandre-DeSève / Sainte-Catherine,-73.552357,45.5226,5272
Papineau / Sainte-Catherine,-73.548134,45.527173,13619
Fullum / Sainte-Catherine,-73.550493,45.526817,5385
Maisonneuve / Parthenais,-73.552649,45.533012,8652
Frontenac / Ontario,-73.56211,45.533659,17401
Fullum / Sherbrooke,-73.55314,45.532449,35544
Iberville / Ontario,-73.556073,45.529419,15876
Ontario / Parthenais,-73.562484,45.532453,10153
Parthenais / Sherbrooke,-73.560179,45.529394,14287
Lorimier / Rouen inter. Sud,-73.677447,45.434964,12181
rue Notre-Dame / avenue 15e,-73.669329,45.434904,5564
rue Notre-Dame / avenue 6e,-73.5611,45.515316,5413
Berri / Maisonneuve,-73.580678,45.485566,82143
Atwater / Saint-Antoine,-73.8623,45.48231,101112
Jacques-Bizard / Pierrefonds,-73.594547,45.545533,30149
Beaubien / Lorimier,-73.596666,45.543159,18403
Beaubien / Papineau,-73.603546,45.546348,22437
Bélanger / Papineau,-73.593239,45.541586,21300
Bellechasse / Papineau,-73.609414,45.530617,19967
Beaubien / Saint-Laurent inter. Nord,-73.615734,45.533507,13219
Mozart / Saint-Laurent inter. Nord,-73.647986,45.498963,10950
Jean-Talon / Victoria,-73.638877,45.605468,19235
Archevêque l' / Gouin,-73.593766,45.536252,3386
Normanville / Rosemont,-73.581628,45.466788,11160
La Vérendrye / Sortie A15 Nord,-73.577295,45.544117,24614
rue Molson / rue Masson,-73.598918,45.625409,8893
Gilbert-Barbier / Maurice-Duplessis,-73.591917,45.530765,9272
Saint-Grégoire / Saint-Hubert,-73.590242,45.532589,8602
Christophe-Colomb / Saint-Grégoire,-73.588701,45.534237,10808
Brébeuf / Saint-Grégoire,-73.590885,45.53189,6387
Mentana / Saint-Grégoire,-73.587236,45.535811,6104
Garnier / Saint-Grégoire,-73.566819,45.464899,5243
Hickson / Wellington,-73.579205,45.528006,7195
Christophe-Colomb / Mont-Royal,-73.580835,45.533805,14736
Fabre / Saint-Joseph,-73.581996,45.532561,12417
